id,title,description,description_plain
850155,ทีม,เอฟอร์คนปัจจุบันได้ปฏิรูปการแข่งขันมหาศึกอากอนเป็นการแข่งขันแบบสองต่อสอง ในตอนนี้ กลาดิเอเตอร์จะต้องค้นหาคู่หูที่ไว้ใจได้เพื่อคว้าแชมป์ไปด้วยกัน,เอฟอร์คนปัจจุบันได้ปฏิรูปการแข่งขันมหาศึกอากอนเป็นการแข่งขันแบบสองต่อสอง ในตอนนี้ กลาดิเอเตอร์จะต้องค้นหาคู่หูที่ไว้ใจได้เพื่อคว้าแชมป์ไปด้วยกัน
850156,"ร้าน ""โซลิส""","ร้านเครื่องดื่มที่ได้รับความนิยมซึ่งอยู่ในย่านบุคคลทั่วไป ขึ้นชื่อเรื่องเครื่องดื่มพิเศษ ""โซลิส"" ที่ไม่เหมือนใคร กลาดิเอเตอร์มักประมือกันที่นี่ โดยมีผู้แพ้เป็นคนออกค่าใช้จ่าย","ร้านเครื่องดื่มที่ได้รับความนิยมซึ่งอยู่ในย่านบุคคลทั่วไป ขึ้นชื่อเรื่องเครื่องดื่มพิเศษ ""โซลิส"" ที่ไม่เหมือนใคร กลาดิเอเตอร์มักประมือกันที่นี่ โดยมีผู้แพ้เป็นคนออกค่าใช้จ่าย"
850157,เอฟอร์,ผู้ปกครองแห่งเซปติมอนต์ เอฟอร์จะมีอำนาจเบ็ดเสร็จ เนื่องจากมีเพียงผู้แข็งแกร่งเท่านั้นที่ควรค่าแก่การเป็นผู้นำ,ผู้ปกครองแห่งเซปติมอนต์ เอฟอร์จะมีอำนาจเบ็ดเสร็จ เนื่องจากมีเพียงผู้แข็งแกร่งเท่านั้นที่ควรค่าแก่การเป็นผู้นำ
850158,กระจกสัมฤทธิ์,ในนิทานของหวงหลง ว่ากันว่ากระจกสามารถเปิดเผยความจริงที่ซ่อนอยู่ได้ และดูเหมือนว่ากระจกนี้จะแสดงสิ่งที่ไม่มีใครเห็น...,ในนิทานของหวงหลง ว่ากันว่ากระจกสามารถเปิดเผยความจริงที่ซ่อนอยู่ได้ และดูเหมือนว่ากระจกนี้จะแสดงสิ่งที่ไม่มีใครเห็น...
850159,มหาคลื่น,หนึ่งในสัญญาณบ่งบอกว่าคลื่นทมิฬกำลังจะมา คือเวลาที่ทาเซ็ตดิสคอร์ดนับไม่ถ้วนรวมฝูงกันใต้เมฆกระแสทมิฬ ถาโถมลงมายังเซปติมอนต์ราวกับคลื่นแห่งการทำลายล้าง,หนึ่งในสัญญาณบ่งบอกว่าคลื่นทมิฬกำลังจะมา คือเวลาที่ทาเซ็ตดิสคอร์ดนับไม่ถ้วนรวมฝูงกันใต้เมฆกระแสทมิฬ ถาโถมลงมายังเซปติมอนต์ราวกับคลื่นแห่งการทำลายล้าง
850160,หุบเขาแห่งความรุ่งโรจน์,สถานที่ฝังร่างของเหล่าวีรชนแห่งเซปติมอนต์ในอดีตและนักสู้กลาดิเอเตอร์ในตำนาน ผู้คนจะหล่ออาวุธคู่กายของพวกเขาให้เป็นหินแกะสลักตั้งตระหง่าน ณ ที่แห่งนี้ เพื่อสืบสานชื่อเสียงอมตะให้ชนรุ่นหลังจดจำ,สถานที่ฝังร่างของเหล่าวีรชนแห่งเซปติมอนต์ในอดีตและนักสู้กลาดิเอเตอร์ในตำนาน ผู้คนจะหล่ออาวุธคู่กายของพวกเขาให้เป็นหินแกะสลักตั้งตระหง่าน ณ ที่แห่งนี้ เพื่อสืบสานชื่อเสียงอมตะให้ชนรุ่นหลังจดจำ
850161,เกลียวคลื่นกัดกร่อน,รอยแผลเป็นจากสัมผัสของคลื่นทมิฬ อาจปรากฏเป็นรอยด่าง ตะกรัน หรือแม้แต่รอยราวกับปะการัง ขึ้นอยู่กับว่าอะไรที่ผิดเพี้ยนไป,รอยแผลเป็นจากสัมผัสของคลื่นทมิฬ อาจปรากฏเป็นรอยด่าง ตะกรัน หรือแม้แต่รอยราวกับปะการัง ขึ้นอยู่กับว่าอะไรที่ผิดเพี้ยนไป
850162,อุตสาหกรรมมาร์วิส,โรงตีเหล็กชั้นนำที่จะหลอมอาวุธและอุปกรณ์ระดับสูง โดยร่วมมือกับตระกูลขุนนางมากมาย ราคาระดับพรีเมียม ดีไซน์ที่สั่งทำพิเศษ และช่างฝีมือชั้นยอดทำให้ที่นี่เป็นตัวเลือกอันดับหนึ่งสำหรับเหล่าขุนนางที่ต้องการสร้างชุดเกราะให้กับเหล่าอัศวินของพวกเขา,โรงตีเหล็กชั้นนำที่จะหลอมอาวุธและอุปกรณ์ระดับสูง โดยร่วมมือกับตระกูลขุนนางมากมาย ราคาระดับพรีเมียม ดีไซน์ที่สั่งทำพิเศษ และช่างฝีมือชั้นยอดทำให้ที่นี่เป็นตัวเลือกอันดับหนึ่งสำหรับเหล่าขุนนางที่ต้องการสร้างชุดเกราะให้กับเหล่าอัศวินของพวกเขา
850163,เทือกเขาชายแดน,ทิวเขาที่ทอดยาวเป็นแนวเขตแดนของเซปติมอนต์ ถูกเกลียวคลื่นกัดกร่อนย่างรุนแรง มีเพียงกลาดิเอเตอร์ผู้กล้าหาญที่สุดเท่านั้นที่กล้าเสี่ยงมาที่นี่เพื่อฝึกฝนตนเองภายใต้สภาพแวดล้อมอันโหดร้ายของทิวเขานี้,ทิวเขาที่ทอดยาวเป็นแนวเขตแดนของเซปติมอนต์ ถูกเกลียวคลื่นกัดกร่อนย่างรุนแรง มีเพียงกลาดิเอเตอร์ผู้กล้าหาญที่สุดเท่านั้นที่กล้าเสี่ยงมาที่นี่เพื่อฝึกฝนตนเองภายใต้สภาพแวดล้อมอันโหดร้ายของทิวเขานี้
850164,กลาดิเอเตอร์,"ผู้เข้าร่วม ""ศึกอากอน"" เป็นผู้มีพละกำลังในการต่อสู้ที่ขับเคลื่อนด้วยความกระหายในชัยชนะและเกียรติยศอย่างไม่หยุดยั้ง","ผู้เข้าร่วม ""ศึกอากอน"" เป็นผู้มีพละกำลังในการต่อสู้ที่ขับเคลื่อนด้วยความกระหายในชัยชนะและเกียรติยศอย่างไม่หยุดยั้ง"
850165,ศึกอากอน,กีฬาอันเป็นเอกลักษณ์ของเซปติมอนต์ ที่เอคโค่จะต่อสู้เคียงข้างกลาดิเอเตอร์ ชัยชนะในสังเวียนจะขึ้นอยู่กับการประสานกันระหว่างทั้งคู่,กีฬาอันเป็นเอกลักษณ์ของเซปติมอนต์ ที่เอคโค่จะต่อสู้เคียงข้างกลาดิเอเตอร์ ชัยชนะในสังเวียนจะขึ้นอยู่กับการประสานกันระหว่างทั้งคู่
850166,เกราะมรดกแห่งวีรชน,เอคโค่ที่เกิดขึ้นจากเสียงกังวานของวีรชนผู้วายชนม์ หลอมรวมกับเกราะ มีความปรารถนาที่จะสัมผัสความตื่นเต้นในการต่อสู้อันทรงเกียรติอีกครั้ง,เอคโค่ที่เกิดขึ้นจากเสียงกังวานของวีรชนผู้วายชนม์ หลอมรวมกับเกราะ มีความปรารถนาที่จะสัมผัสความตื่นเต้นในการต่อสู้อันทรงเกียรติอีกครั้ง
850167,เขาคาปิโตลิเน,เมืองหลวงแห่งเซปติมอนต์ เป็นที่ตั้งของปราการหินกริฟฟินและเวทีมหาศึกอากอน,เมืองหลวงแห่งเซปติมอนต์ เป็นที่ตั้งของปราการหินกริฟฟินและเวทีมหาศึกอากอน
850168,เอคโค่ผู้พิทักษ์,Lioness of Glory - Arsinosa เสียงคำรามและเสียงหัวเราะของเหล่าวีรชนในสนามรบได้หลอมรวมเข้ากับรูปสลักกริฟฟิน กลายเป็นเอคโค่ผู้ทรงพลัง ตั้งแต่ถือกำเนิดขึ้น นางก็คอยเฝ้าพิทักษ์นครหลวงแห่งเซปติมอนต์มาโดยตลอด,Lioness of Glory - Arsinosa เสียงคำรามและเสียงหัวเราะของเหล่าวีรชนในสนามรบได้หลอมรวมเข้ากับรูปสลักกริฟฟิน กลายเป็นเอคโค่ผู้ทรงพลัง ตั้งแต่ถือกำเนิดขึ้น นางก็คอยเฝ้าพิทักษ์นครหลวงแห่งเซปติมอนต์มาโดยตลอด
850169,ตระกูล Silva,ตระกูลที่ Lupa สังกัด หนึ่งในสายเลือดผู้ก่อตั้งเซปติมอนต์ ตระกูล Lupa หยั่งรากลึกอยู่ในจุดสูงสุดแห่งอิทธิพลของเมือง แต่เมื่อเอฟอร์คนใหม่ก้าวขึ้นมา ความรุ่งเรืองในอดีตก็เริ่มเสื่อมถอย,ตระกูลที่ Lupa สังกัด หนึ่งในสายเลือดผู้ก่อตั้งเซปติมอนต์ ตระกูล Lupa หยั่งรากลึกอยู่ในจุดสูงสุดแห่งอิทธิพลของเมือง แต่เมื่อเอฟอร์คนใหม่ก้าวขึ้นมา ความรุ่งเรืองในอดีตก็เริ่มเสื่อมถอย
850170,สภาสูง,กลุ่มผู้ปกครองเซปติมอนต์ มีหน้าที่ให้คำแนะนำแก่เอฟอร์และใช้อำนาจในการบริหารจัดการเรื่องสำคัญ นอกจากนี้ยังมีสิทธิแต่งตั้งและถอดถอนเจ้าหน้าที่รัฐอีกด้วย,กลุ่มผู้ปกครองเซปติมอนต์ มีหน้าที่ให้คำแนะนำแก่เอฟอร์และใช้อำนาจในการบริหารจัดการเรื่องสำคัญ นอกจากนี้ยังมีสิทธิแต่งตั้งและถอดถอนเจ้าหน้าที่รัฐอีกด้วย
850171,เมฆกระแสทมิฬ,"ลางบอกว่าจะเกิดคลื่นทมิฬขึ้น ลอยอยู่เหนือเซปติมอนต์มาหลายปีแล้ว ชาวเซปติมอนต์เรียกดินแดนที่เมฆเหล่านี้ปกคลุมว่า ""สนามล่า""","ลางบอกว่าจะเกิดคลื่นทมิฬขึ้น ลอยอยู่เหนือเซปติมอนต์มาหลายปีแล้ว ชาวเซปติมอนต์เรียกดินแดนที่เมฆเหล่านี้ปกคลุมว่า ""สนามล่า"""
850172,ท่าเรือเคียงผา,ท่าเรือที่เชื่อมเซปติมอนต์กับโลกภายนอก เรือลำใหญ่บรรทุกสินค้าและสัตว์ทะเลที่เพิ่งจับได้สดๆ มาเต็มลำจะเข้ามาเทียบท่าทุกชั่วโมง ในขณะที่กลาดิเอเตอร์และนักเดินทางผู้มาเยือนจะได้สัมผัสกับผืนดินเป็นครั้งแรกที่นี่เมื่อมาถึงเซปติมอนต์,ท่าเรือที่เชื่อมเซปติมอนต์กับโลกภายนอก เรือลำใหญ่บรรทุกสินค้าและสัตว์ทะเลที่เพิ่งจับได้สดๆ มาเต็มลำจะเข้ามาเทียบท่าทุกชั่วโมง ในขณะที่กลาดิเอเตอร์และนักเดินทางผู้มาเยือนจะได้สัมผัสกับผืนดินเป็นครั้งแรกที่นี่เมื่อมาถึงเซปติมอนต์
851011,คริสตัลความถี่,เศษผลึกของคลื่นความถี่ที่ถูกแช่แข็ง สิ่งสร้างแห่งความฝันเหล่านี้มีพลังเฉพาะตัว,เศษผลึกของคลื่นความถี่ที่ถูกแช่แข็ง สิ่งสร้างแห่งความฝันเหล่านี้มีพลังเฉพาะตัว
851012,สรรหาเอคโค่,เลือกเอคโค่ที่คุณต้องการ แล้ววางพวกมันลงในสนาม,เลือกเอคโค่ที่คุณต้องการ แล้ววางพวกมันลงในสนาม
851013,ไอเทมสำหรับแลกเปลี่ยน,หลังอยู่ในความฝันถึงจำนวนวันที่กำหนด พวกมันจะนำออกตัวเอง และทิ้งเอฟเฟกต์บัฟไว้มากมาย,หลังอยู่ในความฝันถึงจำนวนวันที่กำหนด พวกมันจะนำออกตัวเอง และทิ้งเอฟเฟกต์บัฟไว้มากมาย
851014,ตรึงร่าง,ตำแหน่งปรากฏตัวจะคงที่ตายตัว,ตำแหน่งปรากฏตัวจะคงที่ตายตัว
851015,บล็อกความฝัน: กรวด,ผลผลิต [คูปองประจำวัน] ของเอคโค่บนบล็อกความฝันเหล่านี้เพิ่มขึ้น 2,ผลผลิต [คูปองประจำวัน] ของเอคโค่บนบล็อกความฝันเหล่านี้เพิ่มขึ้น 2
851016,บล็อกความฝัน: เศษน้ำแข็ง,เอคโค่ทั้งหมดบนบล็อกความฝัน: ชิ้นส่วนน้ำแข็ง จะถือว่าอยู่ในแถวเดียวกัน,เอคโค่ทั้งหมดบนบล็อกความฝัน: ชิ้นส่วนน้ำแข็ง จะถือว่าอยู่ในแถวเดียวกัน
851017,Lillibet,หัวหน้าบาทหลวงหญิงแห่งเซปติมอนต์คนปัจจุบัน,หัวหน้าบาทหลวงหญิงแห่งเซปติมอนต์คนปัจจุบัน
851018,"""ตำราพยากรณ์""",ม้วนคัมภีร์ที่ Lillibet พกติดตัว บันทึกภาพนิมิตที่ปรากฏในแสงเปลวไฟ คัมภีร์เล่มนี้และภาพฝาผนังภายในวิหารเธทรากอน ล้วนเป็นสื่อกลางที่เหล่านักบวชหญิงแห่งเซปติมอนต์ใช้ถ่ายทอดคำพยากรณ์แก่ผู้คน,ม้วนคัมภีร์ที่ Lillibet พกติดตัว บันทึกภาพนิมิตที่ปรากฏในแสงเปลวไฟ คัมภีร์เล่มนี้และภาพฝาผนังภายในวิหารเธทรากอน ล้วนเป็นสื่อกลางที่เหล่านักบวชหญิงแห่งเซปติมอนต์ใช้ถ่ายทอดคำพยากรณ์แก่ผู้คน
851019,"""ราชาแห่งวีรชน""",ผู้ปกครองในตำนานแห่งเซปติมอนต์ ตำนานนี้มีรากฐานมาจากคำพยากรณ์โบราณ ที่กล่าวว่า มีเพียงผู้ที่กลายเป็นราชาแห่งวีรชนเท่านั้นที่จะสามารถกอบกู้เซปติมอนต์จากความล่มสลายได้,ผู้ปกครองในตำนานแห่งเซปติมอนต์ ตำนานนี้มีรากฐานมาจากคำพยากรณ์โบราณ ที่กล่าวว่า มีเพียงผู้ที่กลายเป็นราชาแห่งวีรชนเท่านั้นที่จะสามารถกอบกู้เซปติมอนต์จากความล่มสลายได้
851020,ศูนย์ทดลองเร้นสมุทร,ศูนย์ทดลองลับใต้ท้องสมุทรที่สร้างขึ้นโดยแฟรกต์ซิดัสและภาคี ทั้งสองฝ่ายต่างมีความทะเยอทะยานที่ซ่อนเร้น ภายใต้ฉากบังหน้าของการแปรรูปและการผลิตเอคโค่ทั่วไป,ศูนย์ทดลองลับใต้ท้องสมุทรที่สร้างขึ้นโดยแฟรกต์ซิดัสและภาคี ทั้งสองฝ่ายต่างมีความทะเยอทะยานที่ซ่อนเร้น ภายใต้ฉากบังหน้าของการแปรรูปและการผลิตเอคโค่ทั่วไป
851021,ห้วงแห่งสังสารอันตรธาน,มิติโซโนโรของ Phrolova ถูกออกแบบขึ้นเพื่อจำลองภพแห่งห้วงสังสารด้วยการประดิษฐ์ โดยอาศัยพลังของเธรโนเดียน Leviathan เธอมีเจตนาจะใช้ร่างของทาเซ็ตดิสคอร์ดเป็นภาชนะสำหรับจัดเก็บจิตกังวานของผู้ล่วงลับ เมื่อนั้นมิติโซโนโรอาจหลอมรวมเข้ากับความเป็นจริง และเหล่าผู้จากไปเนิ่นนานจะสามารถดำรงชีวิตในโลกใหม่ที่เป็นนิรันดร์ ปราศจากความเสื่อมสลาย,มิติโซโนโรของ Phrolova ถูกออกแบบขึ้นเพื่อจำลองภพแห่งห้วงสังสารด้วยการประดิษฐ์ โดยอาศัยพลังของเธรโนเดียน Leviathan เธอมีเจตนาจะใช้ร่างของทาเซ็ตดิสคอร์ดเป็นภาชนะสำหรับจัดเก็บจิตกังวานของผู้ล่วงลับ เมื่อนั้นมิติโซโนโรอาจหลอมรวมเข้ากับความเป็นจริง และเหล่าผู้จากไปเนิ่นนานจะสามารถดำรงชีวิตในโลกใหม่ที่เป็นนิรันดร์ ปราศจากความเสื่อมสลาย
851022,เครื่องบ่มเพาะเอคโค่,อุปกรณ์สำหรับบ่มเพาะเอคโค่สาธารณะ คลื่นความถี่เอคโค่ที่แตกกระจายถูกประกอบขึ้นใหม่เป็นเอคโค่ทั่วไปภายในห้องบ่มนี้,อุปกรณ์สำหรับบ่มเพาะเอคโค่สาธารณะ คลื่นความถี่เอคโค่ที่แตกกระจายถูกประกอบขึ้นใหม่เป็นเอคโค่ทั่วไปภายในห้องบ่มนี้
851023,คลื่นทมิฬ,คลื่นกัดกร่อนที่มีเฉพาะที่รินาซิตาเท่านั้น คลื่นทมิฬคือการสำแดงพลังแห่งเอกภาพของเธรโนเดียน Leviathan เมฆดำหนาทึบก่อตัวเหนือศีรษะและถาโถมลงมาดุจน้ำตก แผ่พุ่งออกไปทุกทิศทาง ทุกที่ที่คลื่นทมิฬไปถึงจะให้กำเนิดทาเซ็ตดิสคอร์ด และทิ้งร่องรอยบาดแผลไว้บนแผ่นดินด้วยเกลียวคลื่นกัดกร่อน ที่ใจกลางปรากฏการณ์นั้น สนามทาเซ็ตแห่งใหม่จะก่อตัวขึ้น,คลื่นกัดกร่อนที่มีเฉพาะที่รินาซิตาเท่านั้น คลื่นทมิฬคือการสำแดงพลังแห่งเอกภาพของเธรโนเดียน Leviathan เมฆดำหนาทึบก่อตัวเหนือศีรษะและถาโถมลงมาดุจน้ำตก แผ่พุ่งออกไปทุกทิศทาง ทุกที่ที่คลื่นทมิฬไปถึงจะให้กำเนิดทาเซ็ตดิสคอร์ด และทิ้งร่องรอยบาดแผลไว้บนแผ่นดินด้วยเกลียวคลื่นกัดกร่อน ที่ใจกลางปรากฏการณ์นั้น สนามทาเซ็ตแห่งใหม่จะก่อตัวขึ้น
851024,ฝนกลับด้าน,พลังงานเศษเสี้ยวความถี่ความหนาแน่นสูงจากทะเลอีเธอริก ที่ฉายภาพเหตุการณ์ในอดีตออกมาด้วยความแม่นยำอันน่าพิศวง ฝนกลับด้านปรากฏเป็นสามระยะชัดเจน ได้แก่ การร่วงหล่นตามธรรมชาติ การหยุดนิ่งใกล้พื้นดิน และการไหลย้อนกลับ,พลังงานเศษเสี้ยวความถี่ความหนาแน่นสูงจากทะเลอีเธอริก ที่ฉายภาพเหตุการณ์ในอดีตออกมาด้วยความแม่นยำอันน่าพิศวง ฝนกลับด้านปรากฏเป็นสามระยะชัดเจน ได้แก่ การร่วงหล่นตามธรรมชาติ การหยุดนิ่งใกล้พื้นดิน และการไหลย้อนกลับ
851025,ผู้ชี้นำ,มนุษย์ที่เธรโนเดียน Leviathan เลือกให้เป็นผู้เผยแพร่บทบัญญัติ และหว่านเพาะความเศร้าและความสิ้นหวังในหมู่มวลชน อิทธิพลดูเหมือนจะเป็นปัจจัยสำคัญในการคัดเลือก ผู้ถูกประทับด้วยมลทินแห่งคลื่นทมิฬเหล่านี้ ครอบครองเศษเสี้ยวพลังของ Leviathan เช่น ความสามารถในการอัญเชิญสมุนคลื่นทมิฬ,มนุษย์ที่เธรโนเดียน Leviathan เลือกให้เป็นผู้เผยแพร่บทบัญญัติ และหว่านเพาะความเศร้าและความสิ้นหวังในหมู่มวลชน อิทธิพลดูเหมือนจะเป็นปัจจัยสำคัญในการคัดเลือก ผู้ถูกประทับด้วยมลทินแห่งคลื่นทมิฬเหล่านี้ ครอบครองเศษเสี้ยวพลังของ Leviathan เช่น ความสามารถในการอัญเชิญสมุนคลื่นทมิฬ
851026,ภพแห่งห้วงสังสาร,โลกที่สร้างขึ้นจากเสียงกังวานนับพัน ดินแดนแห่งคลื่นความถี่ที่เสื่อมสลาย สถานที่ที่ Phrolova พบการเกิดใหม่ และบัดนี้ได้กลายเป็นส่วนหนึ่งของการดำรงอยู่ของเธอ,โลกที่สร้างขึ้นจากเสียงกังวานนับพัน ดินแดนแห่งคลื่นความถี่ที่เสื่อมสลาย สถานที่ที่ Phrolova พบการเกิดใหม่ และบัดนี้ได้กลายเป็นส่วนหนึ่งของการดำรงอยู่ของเธอ
851027,อัญมณีเธรโนเดียน,พลังที่ตกค้างของเธรโนเดียน Leviathan หลังจากหนีออกมาจากร่างที่แตกสลายของ Mya ซ่อนตัวอยู่ภายในอัญมณีรากูนน่าบนหมวกเกราะของเธอ,พลังที่ตกค้างของเธรโนเดียน Leviathan หลังจากหนีออกมาจากร่างที่แตกสลายของ Mya ซ่อนตัวอยู่ภายในอัญมณีรากูนน่าบนหมวกเกราะของเธอ
851028,ที่ราบสูงแซงกวิส,ที่ราบสูงแซงกวิสเคยเป็นแนวหน้าของเซปติมอนต์ในการต่อสู้กับคลื่นทมิฬ ด้วยภูมิประเทศอันโดดเด่นเฉพาะตัว ทำให้สนามล่ามีพลังงานเศษเสี้ยวความถี่ก่อตัวหนาแน่นเป็นประจำ นับตั้งแต่การเกิดขึ้นของคลื่นทมิฬครั้งแรกที่รินาซิตา ภายใต้การสนับสนุนจากภูมิประเทศที่ผิดปกติ เมฆกระแสทมิฬที่ไม่สามารถจางหายจะลอยอยู่เหนือสนามล่าตลอดเวลา ทุกครั้งที่คลื่นทมิฬถึงจุดสูงสุด กลาดิเอเตอร์จากเซปติมอนต์หลายพันคนจะมารวมตัวกันที่นี่ เพื่อออกล่าสมุนคลื่นทมิฬ และไล่ล่าหาเกียรติ,ที่ราบสูงแซงกวิสเคยเป็นแนวหน้าของเซปติมอนต์ในการต่อสู้กับคลื่นทมิฬ ด้วยภูมิประเทศอันโดดเด่นเฉพาะตัว ทำให้สนามล่ามีพลังงานเศษเสี้ยวความถี่ก่อตัวหนาแน่นเป็นประจำ นับตั้งแต่การเกิดขึ้นของคลื่นทมิฬครั้งแรกที่รินาซิตา ภายใต้การสนับสนุนจากภูมิประเทศที่ผิดปกติ เมฆกระแสทมิฬที่ไม่สามารถจางหายจะลอยอยู่เหนือสนามล่าตลอดเวลา ทุกครั้งที่คลื่นทมิฬถึงจุดสูงสุด กลาดิเอเตอร์จากเซปติมอนต์หลายพันคนจะมารวมตัวกันที่นี่ เพื่อออกล่าสมุนคลื่นทมิฬ และไล่ล่าหาเกียรติ
851064,หอคอยนีออน,หอคอยสื่อสารกลางเมืองโฮนามิ เป็นอาคารที่สูงที่สุดและเป็นจุดชมวิวกับแลนด์มาร์กชื่อดังในอดีต มีตำนานกล่าวไว้ว่า อาดูรการณ์ที่ทำลายล้างเมืองครั้งใหญ่ เริ่มต้นจากหอคอยนีออนนี้เอง,หอคอยสื่อสารกลางเมืองโฮนามิ เป็นอาคารที่สูงที่สุดและเป็นจุดชมวิวกับแลนด์มาร์กชื่อดังในอดีต มีตำนานกล่าวไว้ว่า อาดูรการณ์ที่ทำลายล้างเมืองครั้งใหญ่ เริ่มต้นจากหอคอยนีออนนี้เอง
851065,ผู้หลงเหลือ,"ชาวโฮนามิบางส่วนที่เสียชีวิตในเหตุการณ์อาดูรการณ์ ยังคง ""ดำเนินชีวิต"" อยู่ในมิติโซโนโรในรูปของเศษเสี้ยวความถี่ บนร่างของพวกเขา ลอยเรืองด้วยประกายรุ้งสีอ่อน ราวกับไม่รู้ตัวเลยว่าเกิดอะไรขึ้นกับตนเอง","ชาวโฮนามิบางส่วนที่เสียชีวิตในเหตุการณ์อาดูรการณ์ ยังคง ""ดำเนินชีวิต"" อยู่ในมิติโซโนโรในรูปของเศษเสี้ยวความถี่ บนร่างของพวกเขา ลอยเรืองด้วยประกายรุ้งสีอ่อน ราวกับไม่รู้ตัวเลยว่าเกิดอะไรขึ้นกับตนเอง"
851066,ประกายรุ้ง,ประกายสีรุ้งอ่อนที่พลุ่งพล่านอยู่ภายในมิติโซโนโรแห่งเมืองโฮนามิ เป็นปรากฏการณ์คลื่นกัดกร่อนเฉพาะพื้นที่นี้ ร่องรอยการกัดกร่อนของประกายรุ้งยังคงกระจัดกระจายอยู่ทั่วเมือง เมื่ออาดูรการณ์ปะทุขึ้นตามวัฏจักร ประกายรุ้งจะควบแน่นเป็นรูปร่าง แข็งแกร่งพอที่จะเฉือนพื้นที่ที่มันพาดผ่าน และจับกลืนสิ่งที่อยู่ในมิติโซโนโรเข้าไป หากเรโซเนเตอร์สัมผัสประกายรุ้งเป็นเวลานาน อาจสูญเสียการควบคุมพลังเรโซแนนซ์และเข้าสู่สภาวะโอเวอร์คล็อกได้,ประกายสีรุ้งอ่อนที่พลุ่งพล่านอยู่ภายในมิติโซโนโรแห่งเมืองโฮนามิ เป็นปรากฏการณ์คลื่นกัดกร่อนเฉพาะพื้นที่นี้ ร่องรอยการกัดกร่อนของประกายรุ้งยังคงกระจัดกระจายอยู่ทั่วเมือง เมื่ออาดูรการณ์ปะทุขึ้นตามวัฏจักร ประกายรุ้งจะควบแน่นเป็นรูปร่าง แข็งแกร่งพอที่จะเฉือนพื้นที่ที่มันพาดผ่าน และจับกลืนสิ่งที่อยู่ในมิติโซโนโรเข้าไป หากเรโซเนเตอร์สัมผัสประกายรุ้งเป็นเวลานาน อาจสูญเสียการควบคุมพลังเรโซแนนซ์และเข้าสู่สภาวะโอเวอร์คล็อกได้
851067,ดวงจิตถวิลหา,"ความยึดมั่นที่ ""ผู้หลงเหลือ"" ยังทำไม่สำเร็จ หรือยังไม่สลาย ได้กลายเป็นเศษที่กระจายอยู่ทั่วเมืองโฮนามิ สามารถเกิดเรโซแนนซ์กับหอคอยนีออนเป็นพิเศษ ช่วยให้ตามหาตำแหน่งจริงของหอคอยนีออนภายในพื้นที่ที่ซ้อนทับกันอย่างผิดเพี้ยนได้","ความยึดมั่นที่ ""ผู้หลงเหลือ"" ยังทำไม่สำเร็จ หรือยังไม่สลาย ได้กลายเป็นเศษที่กระจายอยู่ทั่วเมืองโฮนามิ สามารถเกิดเรโซแนนซ์กับหอคอยนีออนเป็นพิเศษ ช่วยให้ตามหาตำแหน่งจริงของหอคอยนีออนภายในพื้นที่ที่ซ้อนทับกันอย่างผิดเพี้ยนได้"
851068,คริสตัลประกายรุ้ง,"อาคารและวัตถุที่ถูกประกายรุ้งกัดกร่อน จะทิ้งคริสตัลประกายรุ้งบนพื้นผิวไว้ บางส่วนที่การกัดกร่อนยังไม่รุนแรง สามารถสกัดออกมาเป็น ""คริสตัลประกายรุ้งเบาบาง"" ได้","อาคารและวัตถุที่ถูกประกายรุ้งกัดกร่อน จะทิ้งคริสตัลประกายรุ้งบนพื้นผิวไว้ บางส่วนที่การกัดกร่อนยังไม่รุนแรง สามารถสกัดออกมาเป็น ""คริสตัลประกายรุ้งเบาบาง"" ได้"
851069,สถาบันสตาร์ทอร์ช,"สถาบันสตาร์ทอร์ชคือศูนย์วิจัยขนาดมหึมาที่สร้างขึ้นโดยไร้พรมแดนใดๆ ยึดวิชาการและการวิจัยเป็นเป้าหมายสูงสุดของตน ชาวโซลาริสส่วนใหญ่เรียกที่นี่ว่า ""สถาบันเรโซเนเตอร์"" มากกว่าชื่อทางการ","สถาบันสตาร์ทอร์ชคือศูนย์วิจัยขนาดมหึมาที่สร้างขึ้นโดยไร้พรมแดนใดๆ ยึดวิชาการและการวิจัยเป็นเป้าหมายสูงสุดของตน ชาวโซลาริสส่วนใหญ่เรียกที่นี่ว่า ""สถาบันเรโซเนเตอร์"" มากกว่าชื่อทางการ"
851070,พายุสุญตา,ปรากฏการณ์คลื่นกัดกร่อนแบบเฉพาะเขตในลาไฮรอย เมื่อเกิดขึ้นจะทำลายความถี่ของสิ่งรอบข้าง และมีรอบการเคลื่อนไหวที่เป็นแบบแผนชัดเจน,ปรากฏการณ์คลื่นกัดกร่อนแบบเฉพาะเขตในลาไฮรอย เมื่อเกิดขึ้นจะทำลายความถี่ของสิ่งรอบข้าง และมีรอบการเคลื่อนไหวที่เป็นแบบแผนชัดเจน
